現地コード,銘柄名(English),銘柄名,市場,業種,取扱
ACWI,iShares MSCI ACWI ETF,iシェアーズ MSCI ACWI ETF,NASDAQ,その他,○
AFK,VanEck Vectors Africa Index ETF,ヴァンエック・ベクトル・アフリカ・インデックスETF,NYSE Arca,その他,○
AGG,ISHARES CORE US AGGREGATE BOND ETF,iシェアーズ コア米国総合債券ETF,NYSE Arca,その他,○
AGGY,WISDOMTREE YIELD ENHANCED US AGGREGATE BOND FUND,ウィズダムツリー 米国債券ファンド（利回り強化型）,NYSE Arca,その他,○
AIQ,GLOBAL X ARTIFICIAL INTELLIGENCE & TECHNOLOGY ETF,グローバルX AIビッグデータ ETF,NASDAQ,その他,○
ALTY,GLOBAL X SUPERDIVIDEND ALTERNATIVES ETF,グローバルX スーパーディビィデンド・オルタナティブズ ETF,NASDAQ,その他,○
BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,iPath シリーズB ブルームバーグ・コットン・サブ指数トータルリターンETN,NYSE Arca,その他,○
BBH,VanEck Vectors Biotech ETF,ヴァンエック・ベクトル・バイオテクETF,NASDAQ,その他,○
BCM,IPATH PURE BETA BROAD COMMODITY ETN,iPathピュア・ベータ・ブロード・コモディティETN,NYSE Arca,その他,○
BIV,VANGUARD INTERMEDIATE-TERM BOND ETF,バンガード・米国中期債券ETF,NYSE Arca,その他,○
BLV,VANGUARD LONG-TERM BOND ETF,バンガード・米国長期債券ETF,NYSE Arca,その他,○
BND,Vanguard TOTAL BOND MARKET ETF,バンガード・米国トータル債券市場ETF,NASDAQ,その他,○
BNDX,VANGUARD TOTAL INTERNATIONAL BOND ETF,バンガード・トータル・インターナショナル債券ETF（米ドルヘッジあり）,NASDAQ,その他,○
BOTZ,GLOBAL X ROBOTICS & ARTIFICIAL INTELLIGENCE ETF,グローバルX ロボット＆AI・ETF,NASDAQ,その他,○
BRF,VanEck Vectors Brazil Small-Cap ETF,ヴァンエック・ベクトル・ブラジル小型株ETF,NYSE Arca,その他,○
BSV,VANGUARD SHORT-TERM BOND ETF,バンガード・米国短期債券ETF,NYSE Arca,その他,○
BUG,GLOBAL X CYBERSECURITY ETF,グローバルX サイバーセキュリティ ETF,NASDAQ,その他,○
BWX,SPDR BLOOMBERG BARCLAYS INTERNATIONAL TREASURY BOND ETF,SPDR ブルームバーグ・バークレイズ世界国債（除く米国）ETF,NYSE Arca,その他,○
CHAD,DIREXION DAILY CSI 300 CHINA A SHARE BEAR 1X SHARES ,Direxion デイリー CSI 300 中国A株 ベア1倍 ETF,NYSE Arca,その他,○
CHAU,DIREXION DAILY CSI 300 CHINA A SHARE BULL 2X SHARES,Direxion デイリー CSI 300 中国A株 ブル2倍 ETF　,NYSE Arca,その他,○
CLOU,GLOBAL X CLOUD COMPUTING ETF,グローバルX クラウド・コンピューティング ETF,NASDAQ,その他,○
CNXT,VanEck Vectors ChinaAMC SME-ChiNext ETF,ヴァンエック・ベクトル中国AMC中小企業・創業板ETF,NYSE Arca,その他,○
COW,iPath Series B Bloomberg Livestock Subindex Total Return ETN,iPath シリーズB ブルームバーグ畜産物サブ指数トータルリターンETN,NYSE Arca,その他,○
CTEC,GLOBAL X CLEANTECH ETF,グローバルX クリーンテック ETF,NASDAQ,その他,○
CURE,DIREXION DAILY HEALTHCARE BULL 3X SHARES,Direxion デイリー ヘルスケア株 ブル3倍 ETF,NYSE Arca,その他,○
CWB,SPDR Bloomberg Barclays Convertible Securities ETF,SPDR ブルームバーグ・バークレイズ・コンバーチブル債券ETF,NYSE Arca,その他,○
CWEB,DIREXION DAILY CSI CHINA INTERNET INDEX BULL 2X SHARES,Direxion デイリー CSI中国インターネット指数株 ブル 2倍 ETF,NYSE Arca,その他,○
CWI,SPDR MSCI ACWI ex-US ETF,SPDR　MSCI 全世界株式（除く米国）　ETF,NYSE Arca,その他,○
CXSE,WISDOMTREE CHINA EX-STATE-OWNED ENTERPRISE FUND,ウィズダムツリー中国株ニューエコノミーファンド,NASDAQ,その他,○
DBA,Invesco DB Agriculture Fund,インベスコDBアグリカルチャー・ファンド,NYSE Arca,その他,○
DBC,Invesco DB Commodity Index Tracking Fund,インベスコDB コモディティ・インデックス・トラッキング・ファンド,NYSE Arca,その他,○
DEM,WisdomTree Emerging Markets High Dividend Fund,ウィズダムツリー  新興国株 高配当ファンド,NYSE Arca,その他,○
DES,WISDOMTREE SMALLCAP DIVIDEND FUND,ウィズダムツリー　米国小型株配当ファンド,NYSE Arca,その他,○
DEW,WisdomTree Global High Dividend Fund,ウィズダムツリー  世界株 高配当ファンド,NYSE Arca,その他,○
DFE,WisdomTree Europe SmallCap Dividend Fund,ウィズダムツリー  欧州小型株配当ファンド,NYSE Arca,その他,○
DFJ,WisdomTree Japan SmallCap Dividend Fund,ウィズダムツリー  日本小型株配当ファンド,NYSE Arca,その他,○
DGRE,WISDOMTREE EMERGING MARKETS QUALITY DIVIDEND GROWTH FUND,ウィズダムツリー　新興国株クオリティ配当成長ファンド,NASDAQ,その他,○
DGRS,WISDOMTREE U.S. SMALLCAP QUALITY DIVIDEND GROWTH FUND,ウィズダムツリー　米国小型株クオリティ配当成長ファンド,NASDAQ,その他,○
DGRW,WISDOMTREE U.S. QUALITY DIVIDEND GROWTH FUND,ウィズダムツリー　米国株クオリティ配当成長ファンド,NASDAQ,その他,○
DGS,WISDOMTREE EMERGING MARKETS SMALLCAP DIVIDEND FUND,ウィズダムツリー　新興国小型株配当ファンド,NYSE Arca,その他,○
DHS,WisdomTree High Dividend Fund,ウィズダムツリー  米国株 高配当ファンド,NYSE Arca,その他,○
DIA,SPDR Dow Jones Industrial Average ETF ,SPDR ダウ工業株平均 ETF,NYSE Arca,その他,○
DIV,GLOBAL X SUPERDIVIDEND U.S. ETF,グローバルX スーパーディビィデンド・米国低ベータ ETF,NYSE Arca,その他,○
DJP,IPATH BLOOMBERG COMMODITY INDEX TOTAL RETURN ETN,iPathブルームバーグ・コモディティ指数トータルリターンETN,NYSE Arca,その他,○
DLN,WISDOMTREE LARGECAP DIVIDEND FUND,ウィズダムツリー　米国大型株配当ファンド,NYSE Arca,その他,○
DON,WISDOMTREE MIDCAP DIVIDEND FUND,ウィズダムツリー　米国中型株配当ファンド,NYSE Arca,その他,○
DRIP,DIREXION DAILY S&P OIL & GAS EXP & PROD BEAR 2X SHARES,Direxion デイリー S&P 石油 ・ガス採掘・生産 ベア2倍 ETF,NYSE Arca,その他,○
DRN,DIREXION DAILY REAL ESTATE BULL 3X SHARES,Direxion デイリー 米国リート ブル3倍 ETF,NYSE Arca,その他,○
DRV,DIREXION DAILY REAL ESTATE BEAR 3X SHARES ,Direxion デイリー 米国リート ベア3倍 ETF,NYSE Arca,その他,○
DUST,DIREXION DAILY GOLD MINERS BEAR 2X SHARES,Direxion デイリー 金鉱株 ベア2倍 ETF,NYSE Arca,その他,○
DVY,iShares Select Dividend ETF,iシェアーズ 好配当株式 ETF,NASDAQ,その他,○
DXJ,WisdomTree Japan Hedged Equity Fund,ウィズダムツリー  日本株米ドルヘッジ付ファンド,NYSE Arca,その他,○
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,ウィズダムツリー  日本小型株米ドルヘッジ付ファンド,NASDAQ,その他,○
EBIZ,GLOBAL X ECOMMERCE ETF,グローバルX eコマース ETF,NASDAQ,その他,○
EBND,SPDR Bloomberg Barclays Emerging Markets Local Bond,SPDR ブルームバーグ・バークレイズ 新興国債券（現地通貨建て）ETF,NYSE Arca,その他,○
EDC,DIREXION DAILY EMERGING MARKETS BULL 3X SHARES,Direxion デイリー 新興国株 ブル3倍 ETF,NYSE Arca,その他,○
EDOC,GLOBAL X TELEMEDICINE & DIGITAL HEALTH ETF,グローバルX　eドック（遠隔医療＆デジタルヘルス）ETF,NASDAQ,その他,○
EDV,VANGUARD EXTENDED DURATION TREASURY ETF,バンガード・超長期米国債ETF,NYSE Arca,その他,○
EDZ,DIREXION DAILY EMERGING MARKETS BEAR 3X SHARES,Direxion デイリー 新興国株 ベア3倍 ETF,NYSE Arca,その他,○
EEM,iShares MSCI Emerging Markets ETF,iシェアーズ MSCI エマージング・マーケット ETF,NYSE Arca,その他,○
EEMS,iShares MSCI Emerging Markets Small‐Cap ETF,iシェアーズ MSCI エマージング・マーケット小型株 ETF,NYSE Arca,その他,○
EFA,iShares MSCI EAFE INDEX FUND,iシェアーズ MSCI EAFE ETF,NYSE Arca,その他,○
EIDO,iShares MSCI INDONESIA INVESTABLE MARKET INDEX FUND,iシェアーズ MSCI インドネシア ETF,NYSE Arca,その他,○
ELD,WisdomTree Emerging Markets Local Debt Fund,ウィズダムツリー  新興国現地通貨建債券ファンド,NYSE Arca,その他,○
EMB,iShares JPMORGAN USD EMERGING MARKETS BOND FUND,iシェアーズ J.P.モルガン・米ドル建てエマージング・マーケット債券 ETF,NASDAQ,その他,○
EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond ETF,ヴァンエック・ベクトル・JPモルガン新興国債券（現地通貨建て）ETF,NYSE Arca,その他,○
EPHE,iShares MSCI PHILIPPINES INVESTABLE MARKET INDEX FUND,iシェアーズ MSCI フィリピン ETF,NYSE Arca,その他,○
EPI,WisdomTree India Earnings Fund,ウィズダムツリー  インド株収益ファンド,NYSE Arca,その他,○
EPOL,iShares MSCI Poland ETF,iシェアーズ MSCI ポーランドETF,NYSE Arca,その他,○
EPP,iShares MSCI PACIFIC EX-JAPAN INDEX,iシェアーズ MSCI パシフィック（除く日本）ETF,NYSE Arca,その他,○
ERUS,iShares MSCI Russia ETF,iシェアーズ MSCI ロシアETF,NYSE Arca,その他,○
ERX,DIREXION DAILY ENERGY BULL 2X SHARES,Direxion デイリー エネルギー株 ブル 2倍 ETF,NYSE Arca,その他,○
ERY,DIREXION DAILY ENERGY BEAR 2X SHARES,Direxion デイリー エネルギー株 ベア2倍 ETF,NYSE Arca,その他,○
EUDG,WISDOMTREE EUROPE QUALITY DIVIDEND GROWTH FUND,ウィズダムツリー　欧州株クオリティ配当成長ファンド,NYSE Arca,その他,○
EWG,iShares MSCI Germany ETF,iシェアーズ MSCI ドイツ ETF,NYSE Arca,その他,○
EWJ,iShares MSCI Japan Index Fund,iシェアーズ MSCI ジャパン ETF,NYSE Arca,その他,○
EWM,iShares MSCI MALAYSIA,iシェアーズ MSCI マレーシア ETF,NYSE Arca,その他,○
EWS,iShares MSCI Singapore ETF,iシェアーズ MSCI シンガポールETF,NYSE Arca,その他,○
EWT,iShares MSCI Taiwan ETF,iシェアーズ MSCI 台湾 ETF　,NYSE Arca,その他,○
EWW,iShares MSCI MEXICO ETF,iシェアーズ MSCI メキシコ ETF,NYSE Arca,その他,○
EWY,iShares MSCI SOUTH KOREA ETF,iシェアーズ MSCI 韓国 ETF,NYSE Arca,その他,○
EWZ,iShares MSCI BRAZIL ETF,iシェアーズ MSCI ブラジル ETF,NYSE Arca,その他,○
EXI,iShares Global Industrials ETF,iシェアーズ グローバル資本財 ETF,NYSE Arca,その他,○
EZA,iShares MSCI SOUTH AFRICA INDEX,iシェアーズ MSCI 南アフリカ ETF,NYSE Arca,その他,○
FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES ,Direxion デイリー 米国金融株 ブル3倍 ETF,NYSE Arca,その他,○
FAZ,DIREXION DAILY FINANCIAL BEAR 3X SHARES ,Direxion デイリー 米国金融株 ベア3倍 ETF,NYSE Arca,その他,○
FDN,FIRST TRUST DOW JONES INTERNET INDEX FUND,ファースト・トラスト・ダウ・ジョーンズ・インターネット・インデックス・ファンド,NYSE Arca,その他,○
FEZ,SPDR EURO STOXX 50 ETF,SPDR ユーロ・ストックス50 ETF,NYSE Arca,その他,○
FINX,GLOBAL X FINTECH ETF,グローバルX フィンテック ETF,NASDAQ,その他,○
FM,iShares MSCI Frontier 100 Index Fund,iシェアーズ MSCI フロンティア 100 ETF,NYSE Arca,その他,○
