,stock_code,timestamp,open,high,low,close,volume,日足RSI,日足macd,日足signal,日足hist,週足RSI,週足macd,週足signal,週足hist,日足MACD_trend,週足MACD_trend
0,ACWI,2021-06-04 13:30:00,101.13999938964844,101.55000305175781,101.12000274658203,101.48999786376953,1121600.0,63.4156263314191,0.6975045424695026,0.5540386883997297,0.14346585406977286,59.50249089068487,3.696052553979527,3.9333229043665767,-0.2372703503870497,Downtrend,Uptrend
1,AFK,2021-06-04 13:30:00,22.81999969482422,22.969999313354492,22.739999771118164,22.940000534057617,11400.0,63.422840736060316,0.27445127271892034,0.20378097279407315,0.07067029992484719,56.287885457306515,0.8491432478376844,0.9038883663087787,-0.05474511847109431,Downtrend,Uptrend
2,AGG,2021-06-04 13:30:00,114.38999938964844,114.68000030517578,114.22000122070312,114.68000030517578,4535800.0,55.53032686169428,0.03045198309349928,0.008463607600814337,0.021988375492684942,35.50969768661458,-0.7767174172071236,-0.876251446602861,0.09953402939573741,Downtrend,Uptrend
3,AGGY,2021-06-04 13:30:00,51.72999954223633,51.869998931884766,51.72999954223633,51.869998931884766,113200.0,57.03133180232926,0.03371318421618952,0.01165679515577489,0.022056389060414627,35.72431408192565,-0.440504373191807,-0.5151694325669912,0.0746650593751842,Downtrend,Uptrend
4,AIQ,2021-06-04 13:30:00,28.979999542236328,29.329999923706055,28.899999618530273,29.25,12900.0,57.72339325276723,0.08693289068520471,-0.05360544601423882,0.14053833669944354,63.70084085902491,0.8250785157783227,1.1040105331547356,-0.27893201737641293,Downtrend,Uptrend
5,ALTY,2021-06-04 13:30:00,13.579999923706055,13.600000381469727,13.539999961853027,13.600000381469727,27600.0,61.28343156979527,0.11278269644979488,0.10609859468120886,0.006684101768586026,55.65991629125202,0.5484974459509111,0.5469600997958611,0.0015373461550499679,Downtrend,Uptrend
6,BAL,2021-06-04 13:30:00,47.599998474121094,48.0099983215332,47.435001373291016,47.959999084472656,4200.0,55.42897421854227,-0.2972702654788648,-0.4362818409005874,0.1390115754217226,69.27878430171923,1.181331764038724,1.7112271448654888,-0.5298953808267648,Uptrend,Uptrend
7,BBH,2021-06-04 13:30:00,185.3000030517578,187.75999450683594,185.3000030517578,187.30999755859375,5400.0,63.10742285384359,1.0809352171284559,0.37545928649403304,0.7054759306344228,60.73445917671813,4.129719035436409,4.578155032442517,-0.4484359970061078,Uptrend,Uptrend
8,BIV,2021-06-04 13:30:00,89.33999633789062,89.55000305175781,89.27999877929688,89.55000305175781,784700.0,56.426945553926046,0.06630647221571451,0.05076022060863689,0.015546251607077614,36.95790589506864,-0.8677226359220498,-0.9888344757215531,0.12111183979950335,Downtrend,Uptrend
9,BLV,2021-06-04 13:30:00,99.38999938964844,100.16999816894531,99.30999755859375,100.16999816894531,267900.0,58.67459399339996,0.1306887545362656,0.02186305715046166,0.10882569738580394,35.44341496734633,-2.566835389688947,-3.0054133607705276,0.4385779710815805,Uptrend,Uptrend
